estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2015-08-16,0,16.5,5.7,10.4,1.66,5.14,-9999
M0001,2015-08-17,0,15.2,6.4,11.3,8.77,12.6,-9999
M0001,2015-08-18,0,15.8,5.7,11.6,4.05,9.7,-9999
M0001,2015-08-19,0,12.9,7.2,9.6,5.68,2.17,-9999
M0001,2015-08-20,0,16.7,6.3,11.3,7.42,7.76,-9999
M0001,2015-08-21,0,17.7,5,11.7,4.3,6.53,-9999
M0001,2015-08-22,0,16.2,7.2,10.8,9.08,11.76,-9999
M0001,2015-08-23,0,14,6.8,9.9,6.81,4.47,-9999
M0001,2015-08-24,0,16.2,5.5,10.6,6.89,8.86,-9999
M0001,2015-08-25,0.2,12.6,7,9.9,4.73,12.98,-9999
M0001,2015-08-26,0,14.7,6.4,10.5,8.08,10.79,-9999
M0001,2015-08-27,0,16.7,5.9,10.2,8.42,9.86,-9999
M0001,2015-08-28,0,17.8,5.9,12,2.18,11.04,-9999
M0001,2015-08-29,0,17.7,3.7,11.3,5.9,4.92,-9999
M0001,2015-08-30,0,17.4,6.7,12.5,3.98,16.38,-9999
M0001,2015-08-31,0,17.6,6,11.4,10.2,16.37,-9999
M0001,2015-09-01,0,17.8,6.8,11.3,10.27,6.44,-9999
M0001,2015-09-02,0,17.7,7.2,10.4,5.02,2.7,-9999
M0001,2015-09-03,17,17.1,5,10.8,6.09,11.32,-9999
M0001,2015-09-04,3,16.9,6.6,11.7,3.64,8.62,-9999
M0001,2015-09-05,8.2,17.9,3.9,11.5,9.68,8.07,-9999
M0001,2015-09-06,2,17.3,3.6,11.4,3.07,6.57,-9999
M0001,2015-09-07,8.4,17.6,3.2,11,4.61,1.72,-9999
M0001,2015-09-08,0,17.4,3.5,11.7,2.22,14.94,-9999
M0001,2015-09-09,7.6,18.2,7.5,12.1,4.42,5.22,-9999
M0001,2015-09-10,2.3,19.7,6.6,12.4,3.14,12.08,-9999
M0001,2015-09-11,0,17.2,6.5,11.9,6.51,7.42,-9999
M0001,2015-09-12,0,17.1,6.4,12.3,5.89,11.93,-9999
M0001,2015-09-13,1.8,18.7,7.3,12.3,4.2,3.42,-9999
M0001,2015-09-14,0.6,17.6,8,12.7,2.74,11.58,-9999
M0001,2015-09-15,0,18.1,6.1,11.3,2.31,2.27,-9999
M0001,2015-09-16,0,16.5,5.9,11,2.29,4.25,-9999
M0001,2015-09-17,0,17.1,6,11.6,5.51,11.24,-9999
M0001,2015-09-18,0,17.5,6,12.2,1.58,5.72,-9999
M0001,2015-09-19,0,15.8,5.4,11,1.64,11.06,-9999
M0001,2015-09-20,0,17.2,6.2,11.6,5.2,11.76,-9999
M0001,2015-09-21,1.6,16.2,6.7,11.7,8.65,2.95,-9999
M0001,2015-09-22,0,17.6,5.3,11.9,9.13,10.21,-9999
M0001,2015-09-23,2.4,17.4,7.4,11.7,10.21,14.26,-9999
M0001,2015-09-24,7.4,17.1,7.8,9.8,9.74,1.57,-9999
M0001,2015-09-25,1.1,18,6.7,12,8.93,10.11,-9999
M0001,2015-09-26,0,16.1,6.9,11.2,7.66,7.33,-9999
M0001,2015-09-27,7.5,15.8,7,10.6,3.04,10.65,-9999
M0001,2015-09-28,6.2,14.1,7.9,11.3,7.73,6.7,-9999
M0001,2015-09-29,0.1,13.6,6.5,10.7,1.2,4.41,-9999
M0001,2015-09-30,0.1,14.4,7,11.1,2.67,13.55,-9999
M0001,2015-10-01,0.2,17.2,6.6,12.3,7.19,3.93,-9999
M0001,2015-10-02,0.2,16.9,7.8,12.2,8.6,2.92,-9999
M0001,2015-10-03,8,15.7,8.9,10.8,1.8,13.43,-9999
M0001,2015-10-04,6.4,16.8,8.5,11,8.13,6.86,-9999
M0001,2015-10-05,0,17.3,7.8,11.6,1.57,12.6,-9999
M0001,2015-10-06,5.5,16.2,8.6,10.7,7.16,1.47,-9999
M0001,2015-10-07,0.2,15.8,8.7,10.9,1.43,5.97,-9999
M0001,2015-10-08,0,13.9,8.3,10.4,3.91,3.41,-9999
M0001,2015-10-09,0,14.6,8.5,10.4,9.45,7.63,-9999
M0001,2015-10-10,0,15.7,7.9,10.7,8.65,8.64,-9999
M0001,2015-10-11,0,14.4,7.9,10.6,3.88,1.89,-9999
M0001,2015-10-12,0,18.3,8,12.4,4.35,13.38,-9999
M0001,2015-10-13,0,17.5,7.2,11.9,4.99,15.48,-9999
M0001,2015-10-14,0,19.5,6.8,12.6,6.6,13.78,-9999
M0001,2015-10-15,0,17.3,7,12.7,3.61,1.27,-9999
M0001,2015-10-16,0,17.3,7,11.1,1.96,1.81,-9999
M0001,2015-10-17,0,18.4,7.8,12.3,6.6,14.35,-9999
M0001,2015-10-18,0,14.2,8.2,11.1,1.67,14.2,-9999
M0001,2015-10-19,0,18,7.6,12.4,6.94,13.38,-9999
M0001,2015-10-20,0,17.3,7.9,11,4.11,6.98,-9999
M0001,2015-10-21,0.4,18.7,7,12.8,7.77,1.44,-9999
M0001,2015-10-22,3.4,17.9,7.9,11.3,10.42,14.44,-9999
M0001,2015-10-23,0,19.4,6.7,12.3,3.46,2.35,-9999
M0001,2015-10-24,0,12.7,7.8,9.5,6.54,11.32,-9999
M0001,2015-10-25,0,14.6,5.4,9.9,4.43,8.32,-9999
M0001,2015-10-26,0,17.4,4.7,10.9,5.51,13.98,-9999
M0001,2015-10-27,16.1,15,6.5,11.2,2.75,14.03,-9999
M0001,2015-10-28,0,17.2,5.6,8.7,6.28,10.75,-9999
M0001,2015-10-29,20.8,18.8,6.5,11.6,2.03,9.8,-9999
M0001,2015-10-30,5.4,13.3,7.4,9.1,2.67,10.18,-9999
M0001,2015-10-31,0.8,17.6,7,12.2,1.42,11.92,-9999
M0001,2015-11-01,9.1,16.5,7.4,11.7,10.12,5.69,-9999
M0001,2015-11-02,0,15.8,7.6,10.9,10.61,8.54,-9999
M0001,2015-11-03,0,16,4.4,10.9,2.96,16.56,-9999
M0001,2015-11-04,0,16.8,7.7,11.3,8.28,11.72,-9999
M0001,2015-11-05,0,17.8,7.2,12.3,2.83,1.44,-9999
M0001,2015-11-06,0,16.6,8,12.3,5.78,8.85,-9999
M0001,2015-11-07,0,15.9,7.7,11.2,2.81,16.19,-9999
M0001,2015-11-08,0,18.6,7.3,12.1,7.94,9.59,-9999
M0001,2015-11-09,0,12.7,7.6,10.4,5.64,1.59,-9999
M0001,2015-11-10,0,16.9,7.5,12,2.7,9.66,-9999
M0001,2015-11-11,0,15.4,8.5,11.7,10.54,8.15,-9999
M0001,2015-11-12,0,15.7,8.7,11.2,2.9,14.92,-9999
M0001,2015-11-13,3.2,13.6,8.4,10.8,7.65,16.52,-9999
M0001,2015-11-14,1,16.5,8.1,11.5,10.44,8.05,-9999
M0001,2015-11-15,3.3,16.5,7.4,11,3.48,3.27,-9999
M0001,2015-11-16,1.5,14,7.5,10,7.14,16.53,-9999
M0001,2015-11-17,0.1,16.3,6.5,11.2,8.5,15.77,-9999
M0001,2015-11-18,0.2,16.7,6.8,11.7,2.46,10.43,-9999
M0001,2015-11-19,0.7,17.5,7.8,12.2,6.15,14.81,-9999
M0001,2015-11-20,0,18.1,7.1,11.1,1.12,6.55,-9999
M0001,2015-11-21,0.1,17.2,7.2,12.3,10.71,12.92,-9999
M0001,2015-11-22,33,17.7,6.8,12.4,6.98,16.39,-9999
M0001,2015-11-23,5.6,17,8.5,12,3.27,1.08,-9999
M0001,2015-11-24,0,15.4,7.8,9.9,7.13,12.43,-9999
M0001,2015-11-25,0,17.3,4,11.5,4.27,16.3,-9999
M0001,2015-11-26,0,17.1,4.3,11.3,1.65,7.76,-9999
M0001,2015-11-27,0,15.2,8.1,10.8,10.02,2.68,-9999
M0001,2015-11-28,0,16.7,7.1,11.7,4.23,1.64,-9999
M0001,2015-11-29,1.5,17.8,6.4,11.7,9.59,10.8,-9999
M0001,2015-11-30,0,17.7,6.6,11.9,5.16,1.38,-9999
M0001,2015-12-01,0.5,17.4,7.5,11.5,1.85,3.36,-9999
M0001,2015-12-02,0,17.2,6.8,11.4,1.68,2.4,-9999
M0001,2015-12-03,0,16.8,4.8,11.1,6.8,14.78,-9999
M0001,2015-12-04,0,17.4,4.4,11.8,5.16,14.53,-9999
M0001,2015-12-05,0,18.1,6.7,12.1,9.67,14.93,-9999
